,产品标题,一级类目,二级类目,三级类目,三级分词,二级分词,二级品类结果
10,2018半高领毛衣女冬装新款韩版长袖针织衫慵懒风套头上衣打底衫f349,女装,上衣,打底衫,"{'m': ['2018', '半'], 'n': ['高领', '毛衣', '冬装', '新款', '长袖', '针织衫', '风', '套头', '上衣', '打底衫'], 'b': ['女'], 'nt': ['韩版'], 'a': ['慵懒'], 'eng': ['f349']}","['上衣', '其它', '上衣', '上衣', '上衣']",上衣
11,2018单肩斜挎包 撞色女式小方包 条纹小号手提包,女装,包包,手提包,"{'m': ['2018'], 'n': ['单肩', '斜挎包', '女式', '小方', '条纹', '小号', '手提包'], 'v': ['撞', '包'], 'ng': ['色']}","['包包', '包包']",包包
12,2018单肩斜挎包 格纹女式小方包 韩版小号手提包,女装,包包,手提包,"{'m': ['2018'], 'n': ['单肩', '斜挎包', '女式', '方包', '小号', '手提包'], 'nr': ['格纹'], 'a': ['小'], 'nt': ['韩版']}","['包包', '包包']",包包
13,2018厚底内增高小白鞋女浅口休闲系带五角星刺绣单鞋运动鞋潮QW-3,女装,鞋,运动鞋,"{'m': ['2018'], 'a': ['厚', '小'], 'f': ['底内'], 'v': ['增高', '休闲'], 'n': ['白鞋', '浅口', '系带', '刺绣', '单鞋', '运动鞋', '潮'], 'b': ['女'], 'nz': ['五角星'], 'eng': ['QW3']}","['鞋', '鞋']",鞋
14,2018四色可选新款蕾丝保暖内衣套装牛奶丝滑pn,女装,日用,保暖内衣,"{'m': ['2018'], 'mq': ['四色'], 'v': ['可'], 'zg': ['选'], 'n': ['新款', '蕾丝', '保暖内衣', '套装', '牛奶', '丝滑'], 'eng': ['pn']}","['日用', '套装']",套装
15,2018夏大码装复古刺绣棉麻T恤+阔腿裤套装两件套,女装,裤子,阔腿裤,"{'m': ['2018'], 'tg': ['夏'], 'n': ['大码', '装', '刺绣', '棉麻', 'T恤', '阔腿裤', '套装', '两件套'], 'vn': ['复古']}","['上衣', '裤子', '套装', '套装']",套装
16,2018夏天可折叠防晒大沿帽子蝴蝶结遮阳帽女士布帽大檐太阳帽新款韩版,女装,日用,帽子,"{'m': ['2018'], 't': ['夏天'], 'v': ['可折叠', '防晒'], 'nz': ['大沿帽', '遮阳帽'], 'ng': ['子'], 'n': ['蝴蝶结', '女士', '布帽', '大檐', '太阳帽', '新款'], 'nt': ['韩版']}",['日用'],日用
17,2018夏季仓库棉麻T恤女装夏新款宽松短款民族风亚麻上衣服潮女,女装,上衣,T恤,"{'m': ['2018'], 't': ['夏季'], 'n': ['仓库', '棉麻', 'T恤', '女装', '新款', '亚麻', '衣服', '潮女'], 'nr': ['夏'], 'a': ['宽松'], 'b': ['短款'], 'nz': ['民族风'], 'f': ['上']}",['上衣'],上衣
18,2018夏季凉鞋休闲鞋女鞋子凉鞋韩版时尚潮沙滩鞋包头中跟粗跟,女装,鞋,休闲鞋,"{'m': ['2018'], 't': ['夏季'], 'n': ['凉鞋', '休闲鞋', '鞋子', '凉鞋', '时尚', '潮'], 'b': ['女'], 'nt': ['韩版'], 'nr': ['沙滩鞋'], 'v': ['包头'], 'f': ['中'], 'p': ['跟', '跟'], 'a': ['粗']}","['鞋', '鞋', '鞋', '鞋']",鞋
19,2018夏季新款低帮鞋女鞋PU韩版套脚细跟橡胶尖头浅口高跟单鞋,女装,鞋,单鞋,"{'m': ['2018'], 't': ['夏季'], 'n': ['新款', '鞋', '女鞋', '版', '脚', '橡胶', '尖头', '单鞋'], 'a': ['低', '细', '浅', '高'], 'v': ['帮'], 'eng': ['PU'], 'j': ['韩'], 'q': ['套', '口'], 'p': ['跟', '跟']}","['鞋', '鞋', '鞋']",鞋
20,2018夏季新款单鞋女鞋子低帮鞋韩版时尚圆头中跟内增高,女装,鞋,单鞋,"{'m': ['2018'], 't': ['夏季'], 'n': ['新款', '单鞋', '鞋子', '鞋', '版', '时尚', '圆头'], 'b': ['女'], 'a': ['低'], 'v': ['帮', '增高'], 'j': ['韩'], 'f': ['中', '内'], 'p': ['跟']}","['鞋', '鞋', '鞋']",鞋
21,2018夏季新款单鞋女鞋子低帮鞋韩版时尚浅口尖头,女装,鞋,单鞋,"{'m': ['2018'], 't': ['夏季'], 'n': ['新款', '单鞋', '鞋子', '鞋', '版', '时尚', '浅口', '尖头'], 'b': ['女'], 'a': ['低'], 'v': ['帮'], 'j': ['韩']}","['鞋', '鞋', '鞋']",鞋
22,2018夏季新款宽松显瘦直筒裙简约S-2XL圆点气质衬衫领连衣裙,女装,连衣裙,连衣裙,"{'m': ['2018'], 't': ['夏季'], 'n': ['新款', '筒裙', '圆点', '气质', '衬衫', '连衣裙'], 'a': ['宽松', '显瘦'], 'd': ['直', '简约'], 'eng': ['S2XL'], 'v': ['领']}","['上衣', '连衣裙']",连衣裙
23,2018夏季新款小白鞋女百搭运动鞋系带韩版帆布鞋休闲板鞋白鞋WLDF-3,女装,鞋,运动鞋,"{'m': ['2018', '百'], 't': ['夏季'], 'n': ['新款', '鞋女', '运动鞋', '系带', '帆布鞋', '板鞋', '白鞋'], 'a': ['小', '白'], 'v': ['搭', '休闲'], 'nt': ['韩版'], 'eng': ['WLDF3']}","['鞋', '鞋', '鞋', '鞋']",鞋
24,2018夏季新款拖鞋女鞋橡胶纯色PU胶粘鞋平底平跟2018年夏季,女装,日用,拖鞋,"{'m': ['2018', '2018', '年'], 't': ['夏季', '平底', '夏季'], 'n': ['新款', '拖鞋', '女鞋', '橡胶', '纯色', '鞋'], 'eng': ['PU'], 'b': ['胶粘'], 'v': ['平'], 'p': ['跟']}","['日用', '鞋', '鞋']",鞋
25,2018夏季新款文艺复古V领刺绣棉麻短袖t恤宽松大码亚麻打底衫上衣,女装,上衣,打底衫,"{'m': ['2018'], 't': ['夏季'], 'n': ['新款', '文艺', '领', '刺绣', '棉麻', '短袖', '恤', '大码', '亚麻', '打底衫', '上衣'], 'vn': ['复古'], 'eng': ['V', 't'], 'a': ['宽松']}","['上衣', '上衣', '上衣']",上衣
26,2018夏季新款时尚气质条纹拼接衬衫连衣裙修身假两件裙子女中长款,女装,连衣裙,连衣裙,"{'m': ['2018', '两件'], 't': ['夏季'], 'n': ['新款', '时尚', '气质', '条纹', '衬衫', '连衣裙', '修身', '假', '裙子', '中长款'], 'v': ['拼接'], 'b': ['女']}","['上衣', '连衣裙', '裙子']",裙子
27,2018夏季新款条纹V领显瘦百搭短袖t恤女装韩版纯棉半袖体恤打底衫,女装,上衣,打底衫,"{'m': ['2018', '百'], 't': ['夏季'], 'n': ['新款', '条纹', '短袖', '恤', '女装', '纯棉', '半袖', '打底衫'], 'eng': ['V', 't'], 'v': ['领', '搭', '体恤'], 'a': ['显瘦'], 'nt': ['韩版']}","['上衣', '上衣']",上衣
28,2018夏季新款棉麻哈伦裤宽松亚麻女裤休闲长裤小脚裤子薄款,女装,裤子,小脚裤,"{'m': ['2018'], 't': ['夏季'], 'n': ['新款', '棉麻', '哈伦裤', '亚麻', '女裤', '长裤', '小脚', '裤子', '薄款'], 'a': ['宽松'], 'v': ['休闲']}","['裤子', '裤子', '裤子', '裤子', '裤子']",裤子
29,2018夏季新款民族风棉麻绣花上衣+大码宽松阔腿裤有气质套装,女装,裤子,阔腿裤,"{'m': ['2018'], 't': ['夏季'], 'n': ['新款', '棉麻', '绣花', '上衣', '大码', '阔腿裤', '气质', '套装'], 'nz': ['民族风'], 'a': ['宽松'], 'v': ['有']}","['上衣', '裤子', '套装']",套装
30,2018夏季新款流苏拉链手包卡包波浪纹女士钱包,女装,包包,钱包,"{'m': ['2018'], 't': ['夏季'], 'n': ['新款', '拉链', '手包卡', '女士', '钱包'], 'v': ['流苏', '包'], 'nz': ['波浪'], 'ng': ['纹']}",['包包'],包包
31,2018夏季新款百搭小白鞋女透气网鞋网面帆布鞋学生韩版板鞋白鞋子,女装,鞋,鞋,"{'m': ['2018', '百'], 't': ['夏季'], 'n': ['新款', '白鞋', '女', '透气', '网鞋', '网面', '帆布鞋', '学生', '板鞋', '鞋子'], 'v': ['搭'], 'a': ['小', '白'], 'nt': ['韩版']}","['鞋', '鞋', '鞋']",鞋
32,2018夏季新款雪纺连衣裙中长款韩版显瘦中年女装收腰35到45的裙子,女装,连衣裙,连衣裙,"{'m': ['2018', '35', '45'], 't': ['夏季', '中年'], 'n': ['新款', '连衣裙', '版', '女装', '裙子'], 'nz': ['雪纺'], 'j': ['中长款', '韩'], 'a': ['显瘦'], 'v': ['收腰', '到'], 'uj': ['的']}","['连衣裙', '裙子']",裙子
33,2018夏季新款雪纺阔腿裤女修身裤裙阔脚直筒女长裤高腰韩版舞裤,女装,裤子,阔腿裤,"{'m': ['2018'], 't': ['夏季'], 'n': ['新款', '阔腿裤', '修身', '裤裙', '阔脚', '直筒', '女', '长裤', '腰', '版', '舞裤'], 'nz': ['雪纺'], 'b': ['女'], 'a': ['高'], 'j': ['韩']}","['裤子', '裤子']",裤子
34,2018夏季新款韩版平底小白鞋女一脚蹬懒人鞋子镂空透气百搭休闲鞋,女装,鞋,休闲鞋,"{'m': ['2018', '一', '百'], 't': ['夏季', '平底'], 'n': ['新款', '鞋女', '脚蹬', '懒人', '鞋子', '透气', '休闲鞋'], 'nt': ['韩版'], 'a': ['小', '白'], 'vn': ['镂空'], 'v': ['搭']}","['鞋', '鞋', '鞋']",鞋
35,2018夏季睡衣女短袖韩版居家服夏天仿真丝绸大码家居服套装可外穿,女装,日用,睡衣,"{'m': ['2018'], 't': ['夏季', '夏天'], 'n': ['睡衣', '短袖', '居家', '丝绸', '大码', '家居服', '套装'], 'b': ['女'], 'nt': ['韩版'], 'v': ['服', '穿'], 'd': ['仿真'], 'c': ['可外']}","['日用', '上衣', '日用', '套装']",日用
36,2018夏季运动套装女夏装圆领两件套休闲服短袖七分裤韩版套装,女装,上衣,短袖,"{'m': ['2018'], 't': ['夏季'], 'n': ['运动套装', '夏装', '圆领', '两件套', '短袖', '七分裤', '套装'], 'b': ['女'], 'v': ['休闲服'], 'nt': ['韩版']}","['套装', '套装', '上衣', '套装']",套装
37,2018夏季运动鞋女透气休闲鞋平底韩版百搭潮鞋跑步鞋女鞋,女装,鞋,休闲鞋,"{'m': ['2018', '百'], 't': ['夏季', '平底'], 'n': ['运动鞋', '透气', '休闲鞋', '版', '潮', '鞋', '跑步', '鞋', '女鞋'], 'b': ['女'], 'j': ['韩'], 'v': ['搭']}","['鞋', '鞋', '鞋', '鞋', '鞋']",鞋
38,2018夏新款平跟带钻镂空女式单鞋浅口尖头女鞋瓢鞋平底水钻凉鞋潮,女装,鞋,单鞋,"{'m': ['2018'], 'nr': ['夏'], 'n': ['新款', '平跟', '女式', '单鞋', '浅口', '尖头', '女鞋', '瓢鞋', '水钻', '凉鞋', '潮'], 'v': ['带', '钻'], 'vn': ['镂空'], 't': ['平底']}","['鞋', '鞋', '鞋']",鞋
39,2018夏新款韩版大码宽松绣花连衣裙,女装,连衣裙,连衣裙,"{'m': ['2018'], 'nr': ['夏'], 'n': ['新款', '版', '大码', '绣花', '连衣裙'], 'j': ['韩'], 'a': ['宽松']}",['连衣裙'],连衣裙
40,2018夏装大码连衣裙中老年女装夏季薄款打底衫中年人中长款上衣,女装,连衣裙,连衣裙,"{'m': ['2018'], 'n': ['夏装', '大码', '连衣裙', '女装', '薄款', '打底衫', '中年人', '上衣'], 'j': ['中老年', '中长款'], 't': ['夏季']}","['连衣裙', '上衣', '上衣']",上衣
41,2018夏装新款大码女装胖妹妹遮肚子连衣裙减龄中长款仙女露肩长裙,女装,连衣裙,连衣裙,"{'m': ['2018'], 'n': ['夏装', '新款', '大码', '女装', '妹妹', '肚子', '连衣裙', '减龄', '长款', '仙女', '肩', '长裙'], 'a': ['胖'], 'v': ['遮', '露'], 'f': ['中']}",['连衣裙'],连衣裙
42,2018夏装新款女装时尚T恤+休闲背带裤两件套时尚套装女,女装,上衣,T恤,"{'m': ['2018'], 'n': ['夏装', '新款', '女装', '时尚', 'T恤', '背带裤', '两件套', '时尚', '套装'], 'v': ['休闲'], 'b': ['女']}","['上衣', '套装', '套装']",套装
43,2018夏装新款女装韩版短袖t恤女韩范宽松百搭半袖体恤上衣,女装,上衣,T恤,"{'m': ['2018', '百'], 'n': ['夏装', '新款', '女装', '短袖', '恤女', '半袖', '上衣'], 'nt': ['韩版'], 'eng': ['t'], 'nr': ['韩范'], 'a': ['宽松'], 'v': ['搭', '体恤']}","['上衣', '上衣']",上衣
44,2018夏装新款女露肩短袖T恤短裤运动跑步两件套装迷彩服,女装,裤子,短裤,"{'m': ['2018', '两件'], 'n': ['夏装', '新款', '肩', '短袖', 'T恤', '短裤', '跑步', '套装'], 'nz': ['女露'], 'vn': ['运动'], 'l': ['迷彩服']}","['上衣', '上衣', '裤子', '套装']",上衣
45,2018夏装新款字母印花套装胖MM遮肚显瘦短袖两件套,女装,上衣,短袖,"{'m': ['2018'], 'n': ['夏装', '新款', '字母', '印花', '套装', '胖', '短袖', '两件套'], 'eng': ['MM'], 'v': ['遮肚'], 'a': ['显瘦']}","['套装', '上衣', '套装']",套装
46,2018夏韩版新款单肩斜挎PU女包个性菱格链条小香风时尚百搭小方包,女装,包包,女包,"{'m': ['2018', '百'], 'tg': ['夏'], 'ns': ['韩版'], 'n': ['新款', '单肩', '女包', '个性', '菱格', '链条', '香风', '时尚', '小方'], 'v': ['斜', '挎', '搭', '包'], 'eng': ['PU'], 'a': ['小']}",['包包'],包包
47,2018大码女装胖mm遮肚民族风绣花七分袖衬衫,女装,上衣,衬衫,"{'m': ['2018', '七分'], 'n': ['大码', '女装', '胖', '肚', '绣花', '袖', '衬衫'], 'eng': ['mm'], 'v': ['遮'], 'nz': ['民族风']}",['上衣'],上衣
48,2018大码显瘦条纹高领针织衫长袖刺绣加厚打底衫毛衣冬装修身套头,女装,上衣,打底衫,"{'m': ['2018'], 'n': ['大码', '条纹', '高领', '针织衫', '长袖', '刺绣', '打底衫', '毛衣', '冬装', '修身', '套头'], 'a': ['显瘦'], 'nr': ['加厚']}","['上衣', '其它', '上衣', '上衣']",上衣
49,2018套装时尚舒适潮流百搭宽松套装,女装,套装,套装,"{'m': ['2018', '百'], 'n': ['套装', '时尚', '潮流', '套装'], 'a': ['舒适', '宽松'], 'v': ['搭']}","['套装', '套装']",套装
50,2018女大码宽松复古连衣裙修身宽松圆领短袖长款一步裙,女装,连衣裙,连衣裙,"{'m': ['2018', '一步'], 'b': ['女'], 'n': ['大码', '连衣裙', '修身', '圆领', '短袖', '长款', '裙'], 'a': ['宽松', '宽松'], 'vn': ['复古']}","['连衣裙', '上衣', '裙子']",裙子
51,2018女新款大码女装 纯色v领包臀连衣裙女丝绒打底包臀裙,女装,连衣裙,连衣裙,"{'m': ['2018'], 'n': ['女', '新款', '大码', '女装', '纯色', '领包', '臀', '连衣裙', '丝绒', '打底'], 'eng': ['v'], 'b': ['女'], 'v': ['包'], 'ng': ['臀', '裙']}","['连衣裙', '其它', '裙子']",裙子
52,2018女新款大码女装 纯色v领包臀连衣裙女丝绒打底包臀裙h546,女装,连衣裙,连衣裙,"{'m': ['2018'], 'n': ['女', '新款', '大码', '女装', '纯色', '领包', '臀', '连衣裙', '丝绒', '打底'], 'eng': ['v', 'h546'], 'b': ['女'], 'v': ['包'], 'ng': ['臀', '裙']}","['连衣裙', '其它', '裙子']",裙子
53,2018女款弹力缎面拼接上衣修身仿丝绸缎长袖衬衫,女装,上衣,衬衫,"{'m': ['2018'], 'n': ['女款', '弹力', '缎面', '上衣', '修身', '仿丝', '绸缎', '长袖', '衬衫'], 'v': ['拼接']}","['上衣', '其它', '上衣']",上衣
54,2018女款蕾丝拼接超柔缎面上衣修身仿丝长袖衬衫,女装,上衣,衬衫,"{'m': ['2018'], 'n': ['女款', '蕾丝', '缎面', '上衣', '修身', '仿丝', '长袖', '衬衫'], 'v': ['拼接'], 'a': ['超柔']}","['上衣', '其它', '上衣']",上衣
55,2018女装修身显瘦职业连衣裙时尚包臀一步裙OL,女装,连衣裙,连衣裙,"{'m': ['2018', '一步'], 'n': ['女装', '修身', '职业', '连衣裙', '时尚', '裙'], 'a': ['显瘦'], 'v': ['包'], 'ng': ['臀'], 'eng': ['OL']}","['连衣裙', '裙子']",裙子
56,2018年g冬季毛呢外套长款长袖时尚韩版气质修身显高g173,女装,外套,外套,"{'m': ['2018', '年'], 'eng': ['g', 'g173'], 't': ['冬季'], 'n': ['毛呢', '外套', '长款', '长袖', '时尚', '气质', '修身'], 'nt': ['韩版'], 'v': ['显高']}","['外套', '其它']",其它
57,2018年冬季两件套修身气质优雅韩版纯色潮流套装/套裙,女装,套装,套装,"{'m': ['2018', '年'], 't': ['冬季'], 'n': ['两件套', '修身', '气质', '纯色', '潮流', '套装', '套裙'], 'a': ['优雅'], 'nt': ['韩版']}","['套装', '套装']",套装
58,2018年冬季加厚保暖时尚简约百搭舒适长袖女长款A字版棉衣棉服f191,女装,外套,棉服,"{'m': ['2018', '年', '百'], 't': ['冬季'], 'nr': ['加厚'], 'v': ['保暖', '搭'], 'n': ['时尚', '长袖', '女长款', '字', '版', '棉衣', '棉服'], 'd': ['简约'], 'a': ['舒适'], 'eng': ['A', 'f191']}","['其它', '外套', '外套']",外套
59,2018年冬季时尚潮流舒适简约格纯色休闲宽松中长款长袖棉衣a137,女装,外套,棉衣,"{'m': ['2018', '年'], 't': ['冬季'], 'n': ['时尚', '潮流', '格', '纯色', '长袖', '棉衣'], 'a': ['舒适', '宽松'], 'd': ['简约'], 'v': ['休闲'], 'j': ['中长款'], 'eng': ['a137']}","['其它', '外套']",外套
60,2018年冬季棉衣/棉服舒适简约气质个性优雅甜美时尚都市青春流行f250,女装,外套,棉服,"{'m': ['2018', '年'], 't': ['冬季'], 'n': ['棉衣', '棉服', '气质', '个性', '时尚'], 'a': ['舒适', '优雅', '甜美'], 'd': ['简约'], 'ns': ['都市', '青春'], 'v': ['流行'], 'eng': ['f250']}","['外套', '外套']",外套
61,2018年冬季连帽中长款长袖时尚潮流舒适简约个性纯色口袋棉衣e140,女装,外套,棉衣,"{'m': ['2018', '年'], 't': ['冬季'], 'n': ['连帽', '长款', '长袖', '时尚', '潮流', '个性', '纯色', '口袋', '棉衣'], 'f': ['中'], 'a': ['舒适'], 'd': ['简约'], 'eng': ['e140']}","['其它', '外套']",外套
62,2018年冬季长袖加厚短款修身显瘦时尚皮衣保暖真兔毛毛领c177,女装,外套,皮衣,"{'m': ['2018', '年'], 't': ['冬季'], 'n': ['长袖', '修身', '时尚', '皮衣', '兔毛'], 'nr': ['加厚', '毛领'], 'b': ['短款'], 'a': ['显瘦'], 'v': ['保暖'], 'd': ['真'], 'eng': ['c177']}","['其它', '外套']",外套
63,2018年夏季套头简约蕾丝衫衬衫纯色气质百搭优雅,女装,上衣,衬衫,"{'m': ['2018', '年', '百'], 't': ['夏季'], 'n': ['套头', '蕾丝衫', '衬衫', '纯色', '气质'], 'd': ['简约'], 'v': ['搭'], 'a': ['优雅']}","['上衣', '上衣']",上衣
64,2018年夏季薄款九分裤微喇裤百搭中腰时尚斑点简约裤子（Z）,女装,裤子,九分裤,"{'m': ['2018', '年', '百'], 't': ['夏季'], 'n': ['薄款', '九分裤', '喇裤', '腰', '时尚', '斑点', '裤子'], 'a': ['微'], 'v': ['搭'], 'f': ['中'], 'd': ['简约'], 'x': ['Z']}","['裤子', '裤子']",裤子
65,2018年夏季薄款短裤拉链高腰短裤/热裤修身显瘦百搭潮流,女装,裤子,短裤,"{'m': ['2018', '年', '百'], 't': ['夏季'], 'n': ['薄款', '短裤', '拉链', '腰', '短裤', '热裤', '修身', '潮流'], 'a': ['高', '显瘦'], 'v': ['搭']}","['裤子', '裤子']",裤子
66,2018年夏季长袖简约时尚百搭随性个性防晒衣（Z）,女装,日用,防晒衣,"{'m': ['2018', '年', '百'], 't': ['夏季'], 'n': ['长袖', '时尚', '个性', '防晒衣'], 'd': ['简约', '随性'], 'v': ['搭'], 'x': ['Z']}","['其它', '日用']",日用
67,2018年新款中长款修身大翻领头蕾丝连衣裙外套,女装,连衣裙,连衣裙,"{'m': ['2018', '年'], 'n': ['新款', '修身', '领头', '蕾丝', '连衣裙', '外套'], 'j': ['中长款'], 'a': ['大'], 'v': ['翻']}","['连衣裙', '外套']",外套
68,2018年新款秋冬女士保暖内衣保暖背心修身弹力加绒加厚,女装,日用,保暖内衣,"{'m': ['2018', '年'], 'n': ['新款', '女士', '保暖内衣', '背心', '修身', '弹力'], 't': ['秋冬'], 'v': ['保暖'], 'nr': ['加绒', '加厚']}","['日用', '日用']",日用
69,2018年油蜡皮手提包女士包包单肩斜跨女包,女装,包包,手提包,"{'m': ['2018'], 'n': ['年油', '蜡皮', '手提包', '女士', '包包', '单肩', '女包'], 'v': ['斜', '跨']}","['包包', '包包', '包包']",包包
70,2018年秋冬新款潮流简约个性显瘦修身百搭格子长袖POLO领【DB】f720,女装,其它,修身,"{'m': ['2018', '百'], 't': ['年秋冬'], 'n': ['新款', '潮流', '个性', '修身', '格子', '长袖', '领'], 'd': ['简约'], 'a': ['显瘦', 'DB'], 'v': ['搭'], 'eng': ['POLO', 'f720']}",['其它'],其它
71,2018年秋季大码女装纯色长袖时尚韩版潮流修身圆领,女装,其它,修身,"{'m': ['2018', '年'], 't': ['秋季'], 'n': ['大码', '女装', '纯色', '长袖', '时尚', '潮流', '修身', '圆领'], 'nt': ['韩版']}",['其它'],其它
72,2018年秋季新款时尚半高领百搭显瘦遮肉大码针织衫毛衣女中长款连衣裙,女装,连衣裙,连衣裙,"{'m': ['2018', '年', '半', '百'], 't': ['秋季'], 'n': ['新款', '时尚', '高领', '肉', '大码', '针织衫', '毛衣', '中长款', '连衣裙'], 'v': ['搭', '遮'], 'a': ['显瘦'], 'b': ['女']}","['上衣', '上衣', '连衣裙']",上衣
73,2018年秋季棉时尚修身长袖高腰时尚潮流韩版显瘦毛呢外套,女装,外套,外套,"{'m': ['2018', '年'], 't': ['秋季'], 'n': ['棉', '时尚', '修身', '长袖', '腰', '时尚', '潮流', '版', '毛呢', '外套'], 'a': ['高', '显瘦'], 'j': ['韩']}","['其它', '外套']",外套
74,2018年秋季棉时尚修身长袖高腰时尚潮流韩版显瘦毛呢外套g522,女装,外套,外套,"{'m': ['2018', '年'], 't': ['秋季'], 'n': ['棉', '时尚', '修身', '长袖', '腰', '时尚', '潮流', '版', '毛呢', '外套'], 'a': ['高', '显瘦'], 'j': ['韩'], 'eng': ['g522']}","['其它', '外套']",外套
75,2018年秋季毛呢外套纯色低圆领套头长袖宽松潮流简约个性g198,女装,外套,外套,"{'m': ['2018', '年'], 't': ['秋季'], 'n': ['毛呢', '外套', '纯色', '圆领', '套头', '长袖', '潮流', '个性'], 'a': ['低', '宽松'], 'd': ['简约'], 'eng': ['g198']}","['外套', '其它']",其它
76,2018年高腰长裤弹力牛仔裤修身显瘦时尚舒适气质个性,女装,裤子,牛仔裤,"{'m': ['2018', '年'], 'a': ['高', '显瘦', '舒适'], 'n': ['腰', '长裤', '弹力', '牛仔裤', '修身', '时尚', '气质', '个性']}","['裤子', '裤子']",裤子
77,2018年高领千鸟格针织连衣裙2018秋冬季中长款打底毛衣裙g166,女装,连衣裙,连衣裙,"{'m': ['2018', '年', '2018'], 'n': ['高领', '千鸟', '格', '针织', '连衣裙', '打底', '衣裙'], 't': ['秋冬季'], 'j': ['中长款'], 'nr': ['毛'], 'eng': ['g166']}","['连衣裙', '其它']",其它
78,2018弹力刺绣微喇阔腿牛仔裤韩版毛边长裤,女装,裤子,牛仔裤,"{'m': ['2018'], 'n': ['弹力', '刺绣', '腿', '牛仔裤', '毛边', '长裤'], 'a': ['微', '阔'], 'nr': ['喇'], 'nt': ['韩版']}","['裤子', '裤子']",裤子
79,2018打底裤女外穿高腰加绒加厚中年妇女裤子保暖中老年棉裤冬【DB】,女装,裤子,打底裤,"{'m': ['2018'], 'n': ['打底裤', '腰加绒', '中年妇女', '裤子', '棉裤'], 'b': ['女'], 'f': ['外'], 'v': ['穿', '保暖'], 'a': ['高', 'DB'], 'nr': ['加厚'], 'j': ['中老年'], 't': ['冬']}","['裤子', '裤子']",裤子
