,产品标题,一级类目,二级类目,三级类目,三级分词,二级分词,二级品类结果,特征
30,2018bag单肩斜挎包 格纹女式小方包韩版,女装,包包,斜挎包,"{'m': ['2018'], 'eng': ['bag'], 'n': ['单肩', '女式', '方包'], 'vn': ['斜挎包'], 'nr': ['格纹'], 'a': ['小'], 'nt': ['韩版']}",[],,斜挎包单肩bag
31,2018中老年妈妈装气质女人连衣裙大码显瘦修身打底裙,女装,连衣裙,连衣裙,"{'m': ['2018'], 'j': ['中老年'], 'n': ['妈妈', '气质', '女人', '大码', '裙'], 'v': ['装', '修身', '打底'], 'nr': ['连衣裙'], 'a': ['显瘦']}",[],,大码显瘦打底
32,2018亲肤1.8m 2.0m 磨毛四件套单双人床上用品公司礼品g197,女装,家纺,四件套,"{'m': ['2018', '18'], 'n': ['亲肤', '磨毛', '单', '双人', '床上用品', '公司', '礼品'], 'eng': ['m20m', 'g197'], 'l': ['四件套']}",[],,磨毛床上用品亲肤
33,2018光腿神器秋冬打底连脚裤袜肤色加绒打底裤,女装,裤子,打底裤,"{'m': ['2018'], 'n': ['光腿', '神器', '连脚裤', '袜', '肤色', '底裤'], 't': ['秋冬'], 'v': ['打底', '打'], 'nr': ['加绒']}",[],,光腿连脚裤加绒
34,2018冬加绒加厚新款大码女装胖mm宽松显瘦娃娃衫网纱钉珠连衣裙,女装,连衣裙,连衣裙,"{'m': ['2018'], 'nr': ['冬加绒', '加厚', '连衣裙'], 'n': ['新款', '大码', '女装', '胖', '娃娃', '网纱', '钉珠'], 'eng': ['mm'], 'a': ['宽松', '显瘦'], 'ng': ['衫']}",[],,冬加绒大码mm
35,2018冬女靴子靴子韩版潮时尚保暖防滑绒面短靴圆头中跟粗跟,女装,鞋,短靴,"{'m': ['2018'], 'n': ['冬女', '靴子', '靴子', '时尚', '绒面', '短靴', '圆头'], 'nt': ['韩版潮'], 'v': ['保暖', '防滑'], 'f': ['中'], 'p': ['跟', '跟'], 'a': ['粗']}",[],,靴子冬女韩版潮
36,2018冬季丝绒风衣外套女中长款民族风印花大衣加绒加厚【DM】,女装,外套,风衣,"{'m': ['2018'], 't': ['冬季'], 'n': ['丝绒', '风衣', '外套', '中长款', '民族', '风', '印花', '大衣'], 'b': ['女'], 'nr': ['加绒', '加厚'], 'eng': ['DM']}",[],,长款加绒DM
37,2018冬季中长款双面穿大毛领棉服女修身过膝棉衣外套-BMDF d104,女装,外套,棉服,"{'m': ['2018'], 't': ['冬季'], 'j': ['中长款'], 'n': ['双面', '棉服', '棉衣', '外套'], 'v': ['穿', '修身', '过膝'], 'a': ['大'], 'nr': ['毛领'], 'b': ['女'], 'eng': ['BMDFd104']}",[],,毛领棉服中长款
38,2018冬季中长款双面穿大毛领棉服女修身过膝棉衣外套-BMDF h390,女装,外套,棉服,"{'m': ['2018'], 't': ['冬季'], 'j': ['中长款'], 'n': ['双面', '棉服', '棉衣', '外套'], 'v': ['穿', '修身', '过膝'], 'a': ['大'], 'nr': ['毛领'], 'b': ['女'], 'eng': ['BMDFh390']}",[],,毛领棉服中长款
39,2018冬季加厚新款女靴时尚百搭欧美蝴蝶结两穿女靴学生休闲女鞋,女装,鞋,靴,"{'m': ['2018', '百', '两'], 't': ['冬季'], 'nr': ['加厚'], 'n': ['新款', '女靴', '时尚', '蝴蝶结', '女靴', '学生', '女鞋'], 'v': ['搭', '穿', '休闲'], 'ns': ['欧美']}",[],,女靴百搭两穿
40,2018冬季加绒加厚蕾丝微喇叭裤韩版高腰水波纹腰头开叉鱼尾裤,女装,裤子,裤,"{'m': ['2018'], 't': ['冬季'], 'nr': ['加绒', '加厚', '水波纹'], 'n': ['蕾丝', '微', '喇叭裤', '版', '腰', '腰头', '鱼尾', '裤'], 'j': ['韩'], 'a': ['高'], 'v': ['开叉']}",[],,水波纹开叉喇叭裤
41,2018冬季加绒牛仔裤女高腰加厚保暖韩版弹力显瘦外穿小脚裤子【DB】f183,女装,裤子,小脚裤,"{'m': ['2018'], 't': ['冬季'], 'nr': ['加绒', '加厚'], 'n': ['牛仔裤', '腰', '弹力', '小脚', '裤子'], 'b': ['女'], 'a': ['高', '显瘦'], 'v': ['保暖', '穿'], 'nt': ['韩版'], 'f': ['外'], 'eng': ['DBf183']}",[],,加绒女高腰韩版
42,2018冬季加绒牛仔裤女高腰加厚保暖韩版弹力显瘦外穿小脚裤子【DB】h721,女装,裤子,小脚裤,"{'m': ['2018'], 't': ['冬季'], 'nr': ['加绒', '加厚'], 'n': ['牛仔裤', '腰', '弹力', '小脚', '裤子'], 'b': ['女'], 'a': ['高', '显瘦'], 'v': ['保暖', '穿'], 'nt': ['韩版'], 'f': ['外'], 'eng': ['DBh721']}",[],,加绒女高腰韩版
43,2018冬季女外穿加厚加绒保暖修身显瘦羽绒棉裤厚裤子【DB】b102,女装,裤子,裤子,"{'m': ['2018'], 't': ['冬季'], 'b': ['女'], 'f': ['外'], 'v': ['穿', '保暖', '修身'], 'nr': ['加厚', '加绒'], 'a': ['显瘦', '厚'], 'n': ['羽绒', '棉裤', '裤子'], 'eng': ['DBb102']}",[],,女外加绒显瘦
44,2018冬季女装棉衣外套韩版棉马夹大码无袖坎肩保暖背心【DM】,女装,外套,棉衣,"{'m': ['2018'], 't': ['冬季'], 'n': ['女装', '棉衣', '外套', '版', '马', '大码', '无袖', '坎肩', '背心'], 'j': ['韩'], 'ng': ['棉'], 'v': ['夹', '保暖'], 'eng': ['DM']}",[],,韩版棉马夹大码
45,2018冬季妈妈装连帽棉服中老年女装加绒加厚棉衣保暖植绒棉袄f528,女装,外套,棉服,"{'m': ['2018'], 't': ['冬季'], 'n': ['妈妈', '装连帽', '棉服', '女装', '棉衣', '植绒', '棉袄'], 'j': ['中老年'], 'nr': ['加绒', '加厚'], 'v': ['保暖'], 'eng': ['f528']}",[],,棉服装连帽加绒
46,2018冬季懒人鞋超暖防滑保暖鞋hh,女装,鞋,鞋,"{'m': ['2018'], 't': ['冬季'], 'n': ['懒人', '鞋', '鞋'], 'v': ['超暖', '防滑', '保暖'], 'eng': ['hh']}",[],,鞋超hh懒人
47,2018冬季新款休闲厚底加厚马丁靴女系带皮带扣圆头低筒女靴,女装,鞋,靴,"{'m': ['2018'], 't': ['冬季'], 'n': ['新款', '厚底', '靴女', '系带', '皮带扣', '圆头', '低筒', '女靴'], 'v': ['休闲'], 'nr': ['加厚', '马丁']}",[],,厚底靴女皮带扣
48,2018冬季新款低帮鞋女鞋低跟单鞋深口橡胶PU2019年春季系带粗跟圆,女装,鞋,单鞋,"{'m': ['2018', '年'], 't': ['冬季', '春季'], 'n': ['新款', '鞋', '女鞋', '单鞋', '橡胶', '系带', '圆'], 'a': ['低', '低', '粗'], 'v': ['帮'], 'p': ['跟', '跟'], 'ns': ['深口'], 'eng': ['PU2019']}",[],,单鞋低帮鞋深口
49,2018冬季新款内增高短靴韩版兔毛平底保暖鞋女学生休闲磨砂马丁靴,女装,鞋,短靴,"{'m': ['2018'], 't': ['冬季', '平底'], 'n': ['新款', '内', '短靴', '兔毛', '鞋女', '学生', '磨砂', '靴'], 'v': ['增高', '保暖', '休闲'], 'nt': ['韩版'], 'nr': ['马丁']}",[],,磨砂韩版鞋女
50,2018冬季新款加绒保暖雪地靴毛线中筒靴b145,女装,鞋,中筒靴,"{'m': ['2018'], 't': ['冬季'], 'n': ['新款', '雪地', '靴', '毛线'], 'nr': ['加绒'], 'v': ['保暖'], 'nz': ['中筒靴'], 'eng': ['b145']}",[],,加绒中筒毛线
51,2018冬季新款加绒内增高运动休闲鞋绒面,女装,鞋,休闲鞋,"{'m': ['2018'], 't': ['冬季'], 'n': ['新款', '绒面'], 'nr': ['加绒'], 'f': ['内'], 'v': ['增高'], 'vn': ['运动'], 'i': ['休闲鞋']}",[],,休闲鞋加绒绒面
52,2018冬季新款加绒加厚牛仔裤女外穿弹力兰绒铅笔裤,女装,裤子,铅笔裤,"{'m': ['2018'], 't': ['冬季'], 'n': ['新款', '牛仔裤', '弹力', '铅笔', '裤'], 'nr': ['加绒', '加厚', '兰绒'], 'b': ['女'], 'f': ['外'], 'v': ['穿']}",[],,加绒女外兰绒
53,2018冬季新款单鞋女鞋子尖头低帮中跟细跟浅口柳钉绑带绒面套脚WLDF-3,女装,鞋,单鞋,"{'m': ['2018'], 't': ['冬季'], 'n': ['新款', '单鞋', '鞋子', '尖头', '柳', '绑带', '绒面', '套脚'], 'b': ['女'], 'a': ['低', '细', '浅'], 'v': ['帮', '钉'], 'f': ['中'], 'p': ['跟', '跟'], 'q': ['口'], 'eng': ['WLDF3']}",[],,单鞋绑带低帮
54,2018冬季新款外套气质立领超长款毛呢纯色大衣女过膝【DB】f236,女装,外套,大衣,"{'m': ['2018', '款'], 't': ['冬季'], 'n': ['新款', '外套', '气质', '毛呢', '纯色', '大衣'], 'v': ['立领', '超长', '过膝'], 'b': ['女'], 'eng': ['DBf236']}",[],,立领毛呢DBf
55,2018冬季新款女复古文艺民族风长款棉麻加绒加厚过膝立领大衣外套,女装,外套,大衣,"{'m': ['2018'], 't': ['冬季'], 'n': ['新款', '文艺', '民族', '风长款', '棉麻', '大衣', '外套'], 'b': ['女'], 'vn': ['复古'], 'nr': ['加绒', '加厚'], 'v': ['过膝', '立领']}",[],,立领风长款加绒
56,2018冬季新款女式皮靴女鞋尖头无内里中跟中筒WLDF-3,女装,鞋,靴,"{'m': ['2018'], 't': ['冬季'], 'n': ['新款', '女式', '皮靴', '女鞋', '尖头', '中筒'], 'v': ['无'], 's': ['内里'], 'f': ['中'], 'p': ['跟'], 'eng': ['WLDF3']}",[],,中筒WLDF女鞋
57,2018冬季新款女装个性漆点印花打底衫拼接网纱加绒加厚T恤,女装,上衣,打底衫,"{'m': ['2018'], 't': ['冬季'], 'n': ['新款', '女装', '个性', '漆点', '印花', '网纱', '加绒', 'T恤'], 'v': ['打底', '拼接'], 'ng': ['衫'], 'nr': ['加厚']}",[],,漆点网纱加绒
58,2018冬季新款女鞋中口人造短毛绒套脚绒面平底平跟橡胶尖头单鞋,女装,鞋,单鞋,"{'m': ['2018'], 't': ['冬季', '平底'], 'n': ['新款', '女鞋', '人造', '短毛绒', '套脚', '绒面', '橡胶', '尖头', '单鞋'], 'ns': ['中口'], 'v': ['平'], 'p': ['跟']}",[],,单鞋中口短毛绒
59,2018冬季新款女鞋中筒靴雪地靴侧拉链低跟圆头橡胶棉松糕底A122,女装,鞋,中筒靴,"{'m': ['2018'], 't': ['冬季'], 'n': ['新款', '女鞋', '雪地', '拉链', '圆头', '橡胶', '棉', '底'], 'nz': ['中筒靴'], 'ng': ['靴'], 'v': ['侧'], 'a': ['低', '松糕'], 'p': ['跟'], 'eng': ['A122']}",[],,中筒靴侧松糕
60,2018冬季新款女鞋平底中口套脚圆头人造短毛绒橡胶平跟绒面,女装,鞋,鞋,"{'m': ['2018'], 't': ['冬季', '平底'], 'n': ['新款', '女鞋', '套脚', '圆头', '人造', '短毛绒', '橡胶', '绒面'], 'ns': ['中口'], 'v': ['平'], 'p': ['跟']}",[],,中口短毛绒女鞋
61,2018冬季新款女鞋橡胶平跟人造短毛绒PU短筒防水台尖头后拉链时装靴,女装,鞋,靴,"{'m': ['2018'], 't': ['冬季'], 'n': ['新款', '女鞋', '橡胶', '人造', '短毛绒', '尖头', '拉链', '时装', '靴'], 'v': ['平', '防水'], 'p': ['跟'], 'eng': ['PU'], 'b': ['短筒'], 'q': ['台'], 'f': ['后']}",[],,短毛绒PU短筒
62,2018冬季新款女鞋韩版方头侧拉链高跟金属扣女短靴,女装,鞋,短靴,"{'m': ['2018'], 't': ['冬季'], 'n': ['新款', '女鞋', '方头', '拉链', '金属', '扣女', '短靴'], 'nt': ['韩版'], 'v': ['侧'], 'a': ['高'], 'p': ['跟']}",[],,韩版扣女短靴
63,2018冬季新款女鞋高帮厚底加棉小白鞋女平底网红休闲加绒小熊鞋女,女装,鞋,鞋,"{'m': ['2018'], 't': ['冬季', '平底'], 'n': ['新款', '女鞋', '底加棉', '小白鞋', '女', '网红', '小熊', '鞋女'], 'a': ['高', '厚'], 'v': ['帮', '休闲'], 'nr': ['加绒']}",[],,高帮厚底加棉小白鞋
64,2018冬季新款棉衣女短款棉服加厚小个子韩版百搭小棉袄外套潮f285,女装,外套,棉服,"{'m': ['2018', '百'], 't': ['冬季'], 'n': ['新款', '棉衣', '棉服', '小个子', '版', '棉袄', '外套', '潮'], 'b': ['女', '短款'], 'nr': ['加厚'], 'j': ['韩'], 'v': ['搭'], 'a': ['小'], 'eng': ['f285']}",[],,棉服短款韩版百
65,2018冬季新款棉衣女短款棉袄面包服小棉衣加绒加厚女短款外-CXZYC g243,女装,外套,棉衣,"{'m': ['2018'], 't': ['冬季'], 'n': ['新款', '棉衣', '棉袄', '面包', '服小', '棉衣', '外'], 'b': ['女', '短款', '女', '短款'], 'nr': ['加绒', '加厚'], 'eng': ['CXZYCg243']}",[],,短款棉衣服小
66,2018冬季新款棉衣女短款棉袄面包服小棉衣加绒加厚羊羔毛女短款外-CXZYC g243,女装,外套,棉衣,"{'m': ['2018'], 't': ['冬季'], 'n': ['新款', '棉衣', '棉袄', '面包', '服小', '棉衣', '羊羔', '外'], 'b': ['女', '短款', '女', '短款'], 'nr': ['加绒', '加厚', '毛'], 'eng': ['CXZYCg243']}",[],,短款棉衣服小
67,2018冬季新款棉麻复古风大码加绒加厚中长款外套,女装,外套,外套,"{'m': ['2018'], 't': ['冬季'], 'n': ['新款', '棉麻', '大码', '加绒', '外套'], 'nz': ['复古风'], 'nr': ['加厚'], 'j': ['中长款']}",[],,复古风大码加绒
68,2018冬季新款气质修身针织打底加厚连衣裙女中长款收腰,女装,连衣裙,连衣裙,"{'m': ['2018'], 't': ['冬季'], 'n': ['新款', '气质', '针织', '中长款'], 'v': ['修身', '打底', '收腰'], 'nr': ['加厚', '连衣裙'], 'b': ['女']}",[],,长款收腰打底
69,2018冬季新款甜美中长款棉衣外套女ins面包服棉袄,女装,外套,棉衣,"{'m': ['2018'], 't': ['冬季'], 'n': ['新款', '棉衣', '外套', '女', '面包', '棉袄'], 'a': ['甜美'], 'j': ['中长款'], 'eng': ['ins'], 'v': ['服']}",[],,中长款ins甜美
70,2018冬季新款粗跟套脚优雅女鞋尖头橡胶高跟鞋h359,女装,鞋,高跟鞋,"{'m': ['2018'], 't': ['冬季'], 'n': ['新款', '套脚', '女鞋', '尖头', '橡胶', '高跟鞋'], 'a': ['粗', '优雅'], 'p': ['跟'], 'eng': ['h359']}",[],,女鞋尖头高跟鞋
71,2018冬季新款舒适修身气质羽绒服显瘦时尚,女装,外套,羽绒服,"{'m': ['2018'], 't': ['冬季'], 'n': ['新款', '气质', '羽绒服', '时尚'], 'a': ['舒适', '显瘦'], 'v': ['修身']}",[],,显瘦羽绒服修身
72,2018冬季新款舒适修身气质羽绒服显瘦时尚h398,女装,外套,羽绒服,"{'m': ['2018'], 't': ['冬季'], 'n': ['新款', '气质', '羽绒服', '时尚'], 'a': ['舒适', '显瘦'], 'v': ['修身'], 'eng': ['h398']}",[],,显瘦羽绒服修身
73,2018冬季新款防滑雪地靴防水时尚百搭保暖情侣PU棉靴子短筒加厚保暖棉鞋WLDF-4,女装,鞋,靴,"{'m': ['2018', '百'], 't': ['冬季'], 'n': ['新款', '雪地', '靴', '时尚', '情侣', '棉', '靴子', '棉鞋'], 'v': ['防滑', '防水', '搭', '保暖', '保暖'], 'eng': ['PU', 'WLDF4'], 'b': ['短筒'], 'nr': ['加厚']}",[],,保暖百搭PU
74,2018冬季新款雪地靴女棉靴中筒马丁靴女短靴学生靴子,女装,鞋,短靴,"{'m': ['2018'], 't': ['冬季'], 'n': ['新款', '雪地', '靴女', '棉靴', '中筒', '靴女', '短靴', '学生', '靴子'], 'nr': ['马丁']}",[],,靴女棉靴中筒
75,2018冬季新款靴子女鞋2018年冬季人造短毛绒PU尖头中筒靴水钻高跟,女装,鞋,中筒靴,"{'m': ['2018', '2018', '年'], 't': ['冬季', '冬季'], 'n': ['新款', '靴子', '女鞋', '人造', '短毛绒', '尖头', '水钻'], 'eng': ['PU'], 'nz': ['中筒靴'], 'a': ['高'], 'p': ['跟']}",[],,冬季短毛绒PU
